Date,SPX,DIX,GEX,SPY Volume,USO Price,GLD Price,TY 1 mo,TY 3 mo,TY 6 mo,TY 1 yr,TY 2 yr,TY 3 yr,TY 5 yr,TY 7 yr,TY 10 yr,TY 20 yr,TY 30 yr,VIX,VIX P/C Ratio,VIX Options Volume,SPX P/C Ratio,SPX Options Volume
2011-05-02,1361.219971,0.37884209915686345,1897312571.486,126278700.0,359.44000244140625,150.41000366210938,0.02,0.05,0.1,0.22,0.61,1.01,1.96,2.66,3.31,4.14,4.38,15.99,0.51,182366.0,1.38,567584.0
2011-05-03,1356.619995,0.3834110799414632,1859730656.13,138375000.0,352.6400146484375,149.8800048828125,0.02,0.03,0.09,0.2,0.61,1.01,1.96,2.64,3.28,4.11,4.36,16.7,0.39,318780.0,1.84,540934.0
2011-05-04,1347.319946,0.39212179979185374,1717763844.535,182678500.0,346.0799865722656,147.72999572753906,0.02,0.03,0.07,0.19,0.6,1.0,1.95,2.61,3.25,4.08,4.33,17.08,0.87,369293.0,2.08,432621.0
2011-05-05,1335.099976,0.4054570196735625,1361864280.275,226900000.0,314.55999755859375,143.47000122070312,0.01,0.02,0.07,0.2,0.58,0.97,1.88,2.54,3.18,4.0,4.26,18.2,1.36,446203.0,1.94,601038.0
2011-05-06,1340.199951,0.4186486654525637,1490328625.98,222787200.0,310.9599914550781,145.3000030517578,0.02,0.02,0.07,0.18,0.57,0.96,1.87,2.54,3.19,4.03,4.29,18.4,0.41,382407.0,1.85,601669.0
2011-05-09,1346.290039,0.4103205027781488,1677058729.04,114104500.0,326.9599914550781,147.3800048828125,0.01,0.03,0.07,0.17,0.57,0.94,1.84,2.51,3.17,4.03,4.3,17.16,0.17,288044.0,1.94,321320.0
2011-05-10,1357.160034,0.3928514271714904,2034952130.69,114806900.0,328.6400146484375,147.89999389648438,0.02,0.03,0.07,0.19,0.59,1.03,1.91,2.57,3.23,4.07,4.34,15.91,0.52,439503.0,1.54,462062.0
2011-05-11,1342.079956,0.4008140977249444,1536770884.92,193564200.0,314.79998779296875,146.5399932861328,0.01,0.03,0.07,0.18,0.56,0.96,1.87,2.53,3.19,4.04,4.31,16.95,0.29,244915.0,2.2,645311.0
2011-05-12,1348.650024,0.3875339951676699,1674923266.095,171550700.0,314.239990234375,146.58999633789062,0.01,0.02,0.07,0.18,0.57,0.98,1.89,2.56,3.22,4.07,4.37,16.03,0.22,335905.0,1.8,512082.0
2011-05-13,1337.77002,0.4055951917654673,1218149461.54,157444900.0,315.5199890136719,145.6300048828125,0.01,0.03,0.08,0.19,0.57,0.96,1.86,2.53,3.18,4.03,4.32,17.07,0.15,323993.0,1.81,523405.0
2011-05-16,1329.469971,0.3897027436257629,779596412.269,141675400.0,308.0799865722656,145.3699951171875,0.02,0.04,0.07,0.18,0.54,0.93,1.83,2.5,3.15,3.99,4.28,18.24,0.5,452729.0,1.88,665265.0
2011-05-17,1328.97998,0.3947468322564728,841850592.0,192686200.0,308.3999938964844,144.74000549316406,0.03,0.04,0.07,0.19,0.55,0.91,1.8,2.47,3.12,3.94,4.23,17.55,0.38,460100.0,1.89,845859.0
2011-05-18,1340.680054,0.4023302249231638,1366160182.325,135217900.0,316.0,145.60000610351562,0.03,0.05,0.08,0.19,0.58,0.97,1.87,2.53,3.18,4.0,4.29,16.23,0.62,468338.0,1.15,980442.0
